OBJECTID,InspectDate,RecordUpdatedDate,SiteName,MineName,Mineral,County,Quadrangle,MineAcres,Directions,OlacRank,x,y,WaterName,WaterDescription,Basin,WaterAcres,DistanceMineWater
621,3/9/2004 7:00 PM,,MRV16B_905,,MICA,Pittsylvania,Axton,1,"From Danville, take 58 west towards AXton.  Turn right onto route 855 going north.  Then turn right onto 851 at Green's Store.  Proceed about 1.5 miles on 855 and park on the dirt road on the right.  Site is 50 m from the road.  ",C,-79.638,36.649,Unnamed tributary,"Dan River and its tributaries from the Virginia/North Carolina state line just east of the Pittsylvania/Halifax County line upstream to the state line just east of Draper, North Carolina, unless otherwise designated in this chapter.",Roanoke,1,1.0652
622,3/9/2004 7:00 PM,,MRV16B_803,,MICA,Henry,Axton,1,"From Danville, take route 58 west to Axton.  Turn left on route 610.  Proceed to the fork in the road and turn right onto route 620.  Go approximately .5 miles on this road and turn right onto dirt road.  Follow dirt road to where it forks and park at this location.  Walk due west about .25 miles to reach the site.",C,-79.707,36.645,Unnamed tributary,Cascade Creek and its tributaries.,Roanoke,1,0.3134
623,3/4/2004 7:00 PM,,MRV44A_301,,COPPER,Charlotte,Drakes Branch,1,Hike in on dirt road from Rt623,C,-78.528,36.981,Unnamed tributary,"Tributaries to the Roanoke (Staunton) River from the headwaters of the John Kerr Reservoir to Leesville Dam, unless otherwise designated in this chapter.",Roanoke,1,1.2853
624,3/16/2004 7:00 PM,2/23/2017 7:00 PM,MRV134A_113,,IRON,Buena Vista,Buena Vista,1," From the intersection of US Rt. 60 and VA Rt 631, drive east on Rt. 60 for a mile.  Park on the clearing on the right side of the road.  Walk .4 miles uphill, northeast into the woods.  ",C,-79.34,37.739,Unnamed tributary,"James River and its tributaries from Balcony Falls to their headwaters, unless otherwise designated in this chapter. (The Maury River between its confluence with the James River upstream to its headwaters (the confluence of the Calfpasture and Little Cal",James-Upper,1,2.2502
625,3/16/2004 7:00 PM,2/23/2017 7:00 PM,MRV134A_117,,IRON,Buena Vista,Buena Vista,1,"  From the intersection of US Rt. 60 and VA Rt 631, drive east on Rt. 60 for a mile.  Park on the clearing on the right side of the road.  Walk .25 miles northeast, uphill into the woods.  ",B,-79.343,37.743,Unnamed tributary,"James River and its tributaries from Balcony Falls to their headwaters, unless otherwise designated in this chapter. (The Maury River between its confluence with the James River upstream to its headwaters (the confluence of the Calfpasture and Little Cal",James-Upper,1,1.8985
626,3/7/2004 7:00 PM,,MRV12C_104,,GOLD,Halifax,Nelson,1,enter from Rt 602,C,-78.744,36.602,Unnamed tributary,"Lake Gaston and the John Kerr Reservoir in Virginia and their tributaries in Virginia, unless otherwise designated in this chapter (not including the Roanoke or the Dan Rivers). The Roanoke River Service Authority's water supply intake is in this section",Roanoke,1,0.1546
627,3/16/2004 7:00 PM,,MRV134A_118,,IRON,Buena Vista,Buena Vista,1,"  From the intersection of US Rt. 60 and VA Rt 631, drive east on Rt. 60 for a mile.  Park on the clearing on the right side of the road.  Walk .3 northeast, uphill into the woods.  ",A,-79.343,37.743,Unnamed tributary,"James River and its tributaries from Balcony Falls to their headwaters, unless otherwise designated in this chapter. (The Maury River between its confluence with the James River upstream to its headwaters (the confluence of the Calfpasture and Little Cal",James-Upper,1,1.8985
628,3/7/2004 7:00 PM,,MRV44A_202,,COPPER,Charlotte,Drakes Branch,1,hike from RT623 to site,C,-78.55,36.985,Unnamed tributary,"Tributaries to the Roanoke (Staunton) River from the headwaters of the John Kerr Reservoir to Leesville Dam, unless otherwise designated in this chapter.",Roanoke,1,0.0000
629,3/16/2004 7:00 PM,,MRV134A_120,,IRON,Buena Vista,Buena Vista,1,"   From the intersection of US Rt. 60 and VA Rt 631, drive east on Rt. 60 for a mile.  Park on the clearing on the right side of the road.  Walk .4 miles north- northeast, uphill, into the woods.  ",C,-79.339,37.74,Unnamed tributary,"James River and its tributaries from Balcony Falls to their headwaters, unless otherwise designated in this chapter. (The Maury River between its confluence with the James River upstream to its headwaters (the confluence of the Calfpasture and Little Cal",James-Upper,1,2.1249
630,4/6/2004 8:00 PM,2/23/2017 7:00 PM,MRV134A_201,,IRON,Rockbridge,Buena Vista,1,"  From the intersection of US. Rt 60 and the Blue Ridge Parkway, drive west on Rt. 60 for about 2.5 miles until you get to the Dana factory on your right.  Take a right into the Dana factory drivway and park in the parking lot.  From there, walk about 50 yards NE into the woods.  The first section of  201 is close to the parking lot.  The second section of 201 is about 300 yards NW of the other pits.",C,-79.331,37.745,Unnamed tributary,"James River and its tributaries from Balcony Falls to their headwaters, unless otherwise designated in this chapter. (The Maury River between its confluence with the James River upstream to its headwaters (the confluence of the Calfpasture and Little Cal",James-Upper,1,1.5784
631,4/6/2004 8:00 PM,,MRV134A_203,,IRON,Rockbridge,Buena Vista,1,"   From the intersection of US. Rt 60 and the Blue Ridge Parkway, drive west on Rt. 60 for about 2.5 miles until you get to the Dana factory on your right.  Take a right into the Dana factory drivway and park in the parking lot.  From there, walk about 400 yards N-NE into the woods. ",C,-79.331,37.748,Unnamed tributary,"James River and its tributaries from Balcony Falls to their headwaters, unless otherwise designated in this chapter. (The Maury River between its confluence with the James River upstream to its headwaters (the confluence of the Calfpasture and Little Cal",James-Upper,1,1.2557
632,4/6/2004 8:00 PM,,MRV134A_205,,MANGANESE,Rockbridge,Buena Vista,1,"   From the intersection of US. Rt 60 and the Blue Ridge Parkway, drive west on Rt. 60 for about 2.5 miles until you get to the Dana factory on your right.  Take a right into the Dana factory drivway and park in the parking lot.  From there, walk about 200 yards E-NE into the woods.  ",C,-79.328,37.746,Unnamed tributary,"James River and its tributaries from Balcony Falls to their headwaters, unless otherwise designated in this chapter. (The Maury River between its confluence with the James River upstream to its headwaters (the confluence of the Calfpasture and Little Cal",James-Upper,1,1.5542
633,3/2/2004 7:00 PM,1/16/2019 7:00 PM,MRV134A_503,IRISH CREEK,GOLD,Amherst,Buena Vista,1.5,"     From the intersection of US Rt. 60 and US Forest Route 39 (Across Rt. 60 from VA Rt 605), drive south on Rt. 39 four about 8 miles.  Take at right at BM 1105, and drive for about 1 mile.  503 is on your right directly off of the road.   ",Reclaimed,-79.305,37.677,Unnamed tributary,Enchanted Creek from its confluence with the Pedlar River upstream including all named and unnamed tributaries.,James-Middle,1,1.5132
634,3/2/2004 7:00 PM,,MRV134A_505,,GOLD,Amherst,Buena Vista,1,"  From the intersection of US Rt. 60 and US Forest Route 39 (Across Rt. 60 from VA Rt 605), drive south on Rt. 39 four about 8 miles.  Take at right at BM 1105, and drive for about .5 miles.  Take a right on the fire road and drive north for 2 miles.  Park and walk east, uphill into the woods for .25 miles. ",C,-79.296,37.692,Pedlar Lake,Pedlar River from Lynchburg's raw water intake to a point 5 miles upstream.,James-Middle,1,1.4457
635,4/3/2004 7:00 PM,,MRV17D_102,,MICA,Henry,Northwest Eden,1,"   From the Intersection of Rt. 638 and Rt. 782, travel north on Rt. 782 for 3/4ths of a mile.  Take your first right, drive to the end of the driveway.  Walk northeast through the horse field for about 400 yards to the site. ",C,-79.84,36.611,Unnamed tributary,"Intrastate tributaries to the Dan River above the Virginia/North Carolina state line just east of Draper, North Carolina, to their headwaters, unless otherwise designated in this chapter.",Roanoke,1,1.0124
636,4/3/2004 7:00 PM,,MRV17D_109,,MICA,Henry,Northwest Eden,2,"Directions for 109:  From intersection of Rt. 687 and Rt. 220, drive north on Rt. 220 for ½ of a mile.  109 is on the right side of Rt.220 , 10 yards off of the road.   ",C,-79.863,36.592,Unnamed tributary,Marrowbone Creek and its tributaries from the Henry County Public Service Authority's raw water intake (about 0.25 mile upstream from Route 220) to their headwaters.,Roanoke,1,0.4221
637,4/3/2004 7:00 PM,,MRV17D_202,,MICA,Henry,Northwest Eden,2," From the intersection for Rt. 640 and Rt. 642, travel north on Rt. 642 for 1 mile.  Park at the top of the hill and walk 300 yards southwest, downhill, through the clear-cut field, to the site.   ",C,-79.828,36.617,Unnamed tributary,"Intrastate tributaries to the Dan River above the Virginia/North Carolina state line just east of Draper, North Carolina, to their headwaters, unless otherwise designated in this chapter.",Roanoke,1,1.3492
638,4/27/2004 8:00 PM,,MRV157D_305,,IRON,Rockbridge,Cornwall,0.1,Take the bridge across the river at the intersection of route 608 and 710. take the trailwhich is about 60 yards upstream from the bridge. Walk along the trail for thirty yards and find the site.,C,-79.268,37.847,Unnamed tributary,"Maury River and its tributaries, unless otherwise designated in this chapter, from U.S. Route 60 upstream bridge to its headwaters (the confluence of the Calfpasture and Little Calfpasture Rivers).",James-Upper,0.1,0.9930
639,4/2/2004 7:00 PM,,MRV17D_402,,MICA,Henry,Northwest Eden,4," Park on Rt. 87 at the intersection of Rt. 87 and Rt. 220.  Facing west, walk across Rt. 87 .15 miles to the site.",C,-79.863,36.578,Unnamed tributary,Marrowbone Creek and its tributaries from the Henry County Public Service Authority's raw water intake (about 0.25 mile upstream from Route 220) to their headwaters.,Roanoke,1,1.0424
640,4/27/2004 8:00 PM,,MRV157D_311,,MANGANESE,Rockbridge,Cornwall,0.1,Take the bridge across the river across from the intersection of route 608 and 710. fFollow the stream channel about 20 yards upstream of the bridge till you reach signs for the national forest. The site is 20 yards to the left.,C,-79.265,37.842,Unnamed tributary,"Maury River and its tributaries, unless otherwise designated in this chapter, from U.S. Route 60 upstream bridge to its headwaters (the confluence of the Calfpasture and Little Calfpasture Rivers).",James-Upper,0.1,1.5756
641,3/19/2004 7:00 PM,,MRV17A_504,,MICA,Henry,Martinsville East,0.5,"    Going east on Old 57 State Road, bear right (south) onto State Route 777.  The site is a few hundred feet down, directly on the left (east) side of the road.",C,-79.824,36.706,Unnamed tributary,"Intrastate tributaries to the Dan River above the Virginia/North Carolina state line just east of Draper, North Carolina, to their headwaters, unless otherwise designated in this chapter.",Roanoke,0.5,0.3207
642,4/2/2004 7:00 PM,,MRV17D_406,,MICA,Henry,Northwest Eden,0.5," From Rt. 87 west, go left on 637 East.  Park at the cemetery about 1 mile down the road and walk about .4 miles southeast to the site.  ",C,-79.841,36.58,Unnamed tributary,Marrowbone Creek and its tributaries from the Henry County Public Service Authority's raw water intake (about 0.25 mile upstream from Route 220) to their headwaters.,Roanoke,1,2.7262
643,4/2/2004 7:00 PM,2/23/2017 7:00 PM,MRV17D_413,,MICA,Henry,Northwest Eden,0.5," From US Rt. 220 South, take US Rt. 220 Business South for about ¼ of a mile.  Park across from the mini-mart and walk about 150 yards east of rt. 220 business.",C,-79.86,36.584,Unnamed tributary,Marrowbone Creek and its tributaries from the Henry County Public Service Authority's raw water intake (about 0.25 mile upstream from Route 220) to their headwaters.,Roanoke,1,0.9922
644,4/2/2004 7:00 PM,,MRV17D_405,,MICA,Henry,Northwest Eden,0.5," Going east on State Road 87, turn left (northeast), onto State Road 750 and go approximately ¼ mile, passing a trailer park to the west, and turn right onto a private road.  Walk down private road to tree line and proceed northwest, parallel to the ravine for about 500 feet on foot until you reach the site.",C,-79.847,36.578,Unnamed tributary,Marrowbone Creek and its tributaries from the Henry County Public Service Authority's raw water intake (about 0.25 mile upstream from Route 220) to their headwaters.,Roanoke,1,2.2801
645,4/2/2004 7:00 PM,,MRV17D_412,,MICA,Henry,Northwest Eden,1," Going east on State Road 87, turn right (south), onto State Road 637 and go approximately ½ mile, passing New Bethel Church to the west, and turn and park on the road passed on the left.  Walk approximately 200 feet east, parallel to the gully, and the site is on the northeast slope.",C,-79.851,36.568,Unnamed tributary,Marrowbone Creek and its tributaries from the Henry County Public Service Authority's raw water intake (about 0.25 mile upstream from Route 220) to their headwaters.,Roanoke,1,2.4304
646,4/3/2004 7:00 PM,1/16/2019 7:00 PM,MRV17D_110,Ridgeway Mine,MICA,Henry,Northwest Eden,0.5," Going south on U.S. Route 220, the site will be only a few feet from the road about a mile and a half past the Drewry Mason High School on the left.  The site is on the right (west) of the road about 200 feet from the 3-way intersection between State Road 687 and the U.S. Route 220 bypass.   The site is immediately past the tree line.",C,-79.864,36.589,Unnamed tributary,Marrowbone Creek and its tributaries from the Henry County Public Service Authority's raw water intake (about 0.25 mile upstream from Route 220) to their headwaters.,Roanoke,1,0.4694
647,4/3/2004 7:00 PM,,MRV17D_105,,MICA,Henry,Northwest Eden,0.5," Going north on State Road 782, and immediately after the intersection with state road 638, turn left (west) onto Cemetery Road.  This road is unpaved; park here and walk southwest into the tree line about 100 feet to the site.",C,-79.852,36.602,Unnamed tributary,"Intrastate tributaries to the Dan River above the Virginia/North Carolina state line just east of Draper, North Carolina, to their headwaters, unless otherwise designated in this chapter.",Roanoke,1,0.2914
648,10/10/2004 8:00 PM,,MRV17D_203,,IRON,Henry,Northwest Eden,1,"   Go southeast on State Road 642, and proceed approximately 1 mile past a trailer park to the south.  Pull into an indentation along the side of the road leading to an overgrown trail and walk south up a hillside about 200 feet to the site.",C,-79.83,36.615,Unnamed tributary,"Intrastate tributaries to the Dan River above the Virginia/North Carolina state line just east of Draper, North Carolina, to their headwaters, unless otherwise designated in this chapter.",Roanoke,1,1.2556
649,4/17/2004 8:00 PM,,MRV157D_308,,MANGANESE,Rockbridge,Cornwall,0.5,"  Go southeast on State Route 714 into the town of Midvale.  Turn left onto State Route 808 and park along the road close to a forest path on the other side of the river.  (There are several passable points of the stream and two small bridges as well for crossing)  Hike up the path, parallel to the stream to the top of a small crest. The site is southeast several hundred feet off of the path in a clearing.",C,-79.271,37.836,Unnamed tributary,"Maury River and its tributaries, unless otherwise designated in this chapter, from U.S. Route 60 upstream bridge to its headwaters (the confluence of the Calfpasture and Little Calfpasture Rivers).",James-Upper,1,1.9878
650,3/7/2004 7:00 PM,,MRV44A_201,,COPPER,Charlotte,Drakes Branch,1,Hike in along forest road from Rt623,C,-78.543,36.994,Unnamed tributary,"Tributaries to the Roanoke (Staunton) River from the headwaters of the John Kerr Reservoir to Leesville Dam, unless otherwise designated in this chapter.",Roanoke,1,0.1012
651,3/8/2004 7:00 PM,1/21/2019 7:00 PM,MRV12C_103,REDBANK GOLD,GOLD,Halifax,Nelson,1," enter from Rt 602  Redbank Gold OLP: Rt. 58, 3.9 miles on Rt. 601 to Rt. 734, 4/10 mile from Rt. 745 at Redbank. Take a left on Rt. 602, 3.5 miles on Rt. 734. Located behind white house.",C,-78.745,36.6,Unnamed tributary,"Lake Gaston and the John Kerr Reservoir in Virginia and their tributaries in Virginia, unless otherwise designated in this chapter (not including the Roanoke or the Dan Rivers). The Roanoke River Service Authority's water supply intake is in this section",Roanoke,1,0.0516
652,3/8/2004 7:00 PM,3/22/2016 8:00 PM,MRV12C_101-102,,GOLD,Halifax,Nelson,1,off roadside on Rt606,C,-78.748,36.593,Unnamed tributary,"Lake Gaston and the John Kerr Reservoir in Virginia and their tributaries in Virginia, unless otherwise designated in this chapter (not including the Roanoke or the Dan Rivers). The Roanoke River Service Authority's water supply intake is in this section",Roanoke,0.1,0.4151
653,3/9/2004 7:00 PM,,MRV12C_105,,GOLD,Halifax,Nelson,3,park along Rt606 and walk in,C,-78.747,36.587,Unnamed tributary,"Lake Gaston and the John Kerr Reservoir in Virginia and their tributaries in Virginia, unless otherwise designated in this chapter (not including the Roanoke or the Dan Rivers). The Roanoke River Service Authority's water supply intake is in this section",Roanoke,0.1,0.4007
654,3/14/2004 7:00 PM,6/7/2015 8:00 PM,MRV12C_403,,GOLD,Halifax,Nelson,1,off Rt 604,C,-78.745,36.577,Unnamed tributary,"Lake Gaston and the John Kerr Reservoir in Virginia and their tributaries in Virginia, unless otherwise designated in this chapter (not including the Roanoke or the Dan Rivers). The Roanoke River Service Authority's water supply intake is in this section",Roanoke,0.1,0.2750
655,3/15/2004 7:00 PM,3/21/2016 8:00 PM,MRV12C_401-402,,GOLD,Halifax,Nelson,0.1,in field of Rt 735,C,-78.747,36.565,Unnamed tributary,"Lake Gaston and the John Kerr Reservoir in Virginia and their tributaries in Virginia, unless otherwise designated in this chapter (not including the Roanoke or the Dan Rivers). The Roanoke River Service Authority's water supply intake is in this section",Roanoke,0.1,0.1475
656,3/14/2004 7:00 PM,,MRV13D_602,,COPPER,Halifax,Virgilina,0.2,at Intersection Rts 735/734,C,-78.768,36.559,Unnamed tributary,"Lake Gaston and the John Kerr Reservoir in Virginia and their tributaries in Virginia, unless otherwise designated in this chapter (not including the Roanoke or the Dan Rivers). The Roanoke River Service Authority's water supply intake is in this section",Roanoke,0.2,0.1428
657,3/14/2004 7:00 PM,2/26/2017 7:00 PM,"MRV13D_601, 603",,COPPER,Halifax,Virgilina,0.2,park at Rts 776/734,C,-78.767,36.561,Unnamed tributary,"Lake Gaston and the John Kerr Reservoir in Virginia and their tributaries in Virginia, unless otherwise designated in this chapter (not including the Roanoke or the Dan Rivers). The Roanoke River Service Authority's water supply intake is in this section",Roanoke,0.2,0.3032
658,3/14/2004 7:00 PM,,MRV13D_310,,COPPER,Halifax,Virgilina,0.1,corner at Rts734/776,C,-78.76,36.585,Unnamed tributary,"Lake Gaston and the John Kerr Reservoir in Virginia and their tributaries in Virginia, unless otherwise designated in this chapter (not including the Roanoke or the Dan Rivers). The Roanoke River Service Authority's water supply intake is in this section",Roanoke,0.1,0.3716
659,3/15/2004 7:00 PM,3/21/2016 8:00 PM,MRV13D_305-306,,COPPER,Halifax,Virgilina,0.2,intersection of Rts737&602,C,-78.782,36.599,Unnamed tributary,"Lake Gaston and the John Kerr Reservoir in Virginia and their tributaries in Virginia, unless otherwise designated in this chapter (not including the Roanoke or the Dan Rivers). The Roanoke River Service Authority's water supply intake is in this section",Roanoke,0.2,0.4363
660,3/15/2004 7:00 PM,,MRV13D_302,,COPPER,Halifax,Virgilina,0.2,off Rt 737,C,-78.752,36.609,Unnamed tributary,"Lake Gaston and the John Kerr Reservoir in Virginia and their tributaries in Virginia, unless otherwise designated in this chapter (not including the Roanoke or the Dan Rivers). The Roanoke River Service Authority's water supply intake is in this section",Roanoke,0.2,0.2130
661,3/15/2004 7:00 PM,,MRV13D_301,,COPPER,Halifax,Virgilina,0.2,offRt 734,C,-78.752,36.618,Unnamed tributary,"Lake Gaston and the John Kerr Reservoir in Virginia and their tributaries in Virginia, unless otherwise designated in this chapter (not including the Roanoke or the Dan Rivers). The Roanoke River Service Authority's water supply intake is in this section",Roanoke,0.2,0.2564
662,3/16/2004 7:00 PM,,MRV13D_903-904,,COPPER,Halifax,Omega,0.2,Rt733,C,-78.756,36.629,Unnamed tributary,"Lake Gaston and the John Kerr Reservoir in Virginia and their tributaries in Virginia, unless otherwise designated in this chapter (not including the Roanoke or the Dan Rivers). The Roanoke River Service Authority's water supply intake is in this section",Roanoke,0.2,0.7401
663,4/17/2004 8:00 PM,3/15/2016 8:00 PM,MRV157D_306,Midvale,MANGANESE,Rockbridge,Cornwall,1,"  From Charlottesville, take 64 W to 81 S, and soon after getting onto 81S, turn off onto 11S and follow until you reach rt 710.  Take a left onto rt 710 all the way until you reach the river (about 2 miles), and park along the side of the road.",C,-79.274,37.834,Unnamed tributary,"Maury River and its tributaries, unless otherwise designated in this chapter, from U.S. Route 60 upstream bridge to its headwaters (the confluence of the Calfpasture and Little Calfpasture Rivers).",James-Upper,1,1.7220
664,2/20/2004 7:00 PM,,MRV104A_701,,GOLD,Buckingham,Andersonville,1," From intersection of Rt. 20 and Rt. 15 near Dillwyn, take Rt. 15 south.  Get off on Rt. 640, go through Enonville, then to Andersonville.  Turn off onto Rt. 638, south to Rt. 636 west.  Take Rt. 612 for just over a mile.  Park at State Forest gate on left.  Site is just to the northeast of gate.",C,-78.616,37.406,Unnamed tributary,"Appomattox River from the head of tidal waters, and free flowing tributaries to the Appomattox River, to their headwaters, unless otherwise designated in this chapter.",Appomattox,1,1.4141
665,4/22/2004 8:00 PM,,MRV157D_815,,IRON,Buena Vista,Cornwall,1," Take 60 E off of 81S, coming from Charlottesville, and continue on 60 E until you see the Buena Vista visitor center on you left.  Take a left just past the visiter center and park in parking lot at the top of the hill.  ",C,-79.33,37.754,Unnamed tributary,"James River and its tributaries from Balcony Falls to their headwaters, unless otherwise designated in this chapter. (The Maury River between its confluence with the James River upstream to its headwaters (the confluence of the Calfpasture and Little Cal",James-Upper,1,0.6943
666,2/20/2004 7:00 PM,,MRV104A_802,,IRON,Buckingham,Andersonville,1," At Lovingston, take Rt. 56 south.  At Dentons Corner take Rt 60 east, then right onto Rt. 633.  Get off on Rt. 640, go through Enonville, then to Andersonville.  Turn off onto Rt. 638, south to Rt. 636 east.  After about 1 mile, take right onto Rt.609.  After about 1.75 miles there will be a long dirt road on right, running parallel to the right side of a large farm field.  Walk up this past an old cemetery and straight into the hills along the road.  After .75 - 1.0 miles past the cemetery, head off to the right up very steep slope.  Site 802 is on top off a ridge, just below the peak and the two holes are behind some big granite boulders.",C,-78.578,37.391,Unnamed tributary,"Appomattox River from the head of tidal waters, and free flowing tributaries to the Appomattox River, to their headwaters, unless otherwise designated in this chapter.",Appomattox,1,2.2602
667,4/16/2004 8:00 PM,,MRV157D_804,,IRON,Buena Vista,Cornwall,1," Take Rt. 60 going out of the northeast end of Buena Vista.  Across from the turnoff onto Maple Ave. (which will be on the right) there is an entrance into a warehouse/distribution center parking lot on the left of Rt. 60.  Park in their parking lot, closest to the woods.  Walk through the woods, slightly west, until you reach Chalk Mine Run.  Go up this stream drainage until you see the red blazes marking the National Forest Boundary line (about 1 mile from parking lot).  Near here is a stream coming into the Chalk Mine Run from the right side.  Follow this stream up until you reach a well-worn path running parallel to Chalk Mine Run.  Keep following the stream (or up the ridge that parallels the stream) about 1/8 of a mile.  Site is on the hillslope to the right of the stream and is an adit-looking pit.",C,-79.331,37.757,Unnamed tributary,"James River and its tributaries from Balcony Falls to their headwaters, unless otherwise designated in this chapter. (The Maury River between its confluence with the James River upstream to its headwaters (the confluence of the Calfpasture and Little Cal",James-Upper,1,0.4048
668,4/16/2004 8:00 PM,,MRV157D_703,,IRON,Buena Vista,Cornwall,1,"  Take Rt. 60 going out of the northeast end of Buena Vista.  Across from the turnoff onto Maple Ave. (which will be on the right) there is an entrance into a warehouse/distribution center parking lot on the left of Rt. 60.  Park in their parking lot, closest to the woods.  Walk through the woods, slightly west, until you reach Chalk Mine Run.  Walk up this stream about 0.5 mile.  Site is on left side of stream about 60 ft. away from the water.  The adit is in the small hillslope above the floodplain.",C,-79.335,37.756,Unnamed tributary,"James River and its tributaries from Balcony Falls to their headwaters, unless otherwise designated in this chapter. (The Maury River between its confluence with the James River upstream to its headwaters (the confluence of the Calfpasture and Little Cal",James-Upper,1,0.3188
669,4/22/2004 8:00 PM,,MRV157D_807,,IRON,Rockbridge,Cornwall,1,"  Take Rt. 60 going out of the northeast end of Buena Vista.  Across from the turnoff onto Maple Ave. (which will be on the right) there is an entrance into a warehouse/distribution center parking lot on the left of Rt. 60.  Park in their parking lot, closest to the woods.  Walk through the woods, slightly west, until you reach Chalk Mine Run.  Go up this stream drainage until you see the red blazes marking the National Forest Boundary line (about 1 mile from parking lot).  Near here is a stream coming into the Chalk Mine Run from the right side.  Follow this stream up until you reach a well-worn path running parallel to Chalk Mine Run.  Go up this path about 200 yards going south (downstream) and then head off to the left up the hillslope.  You should come upon a huge clay pit (site 803).  Continue up the ridge past this pit.  Site should be very near the peak of the ridge, about 0.25 mile past clay pit.",C,-79.328,37.754,Unnamed tributary,"James River and its tributaries from Balcony Falls to their headwaters, unless otherwise designated in this chapter. (The Maury River between its confluence with the James River upstream to its headwaters (the confluence of the Calfpasture and Little Cal",James-Upper,1,0.8165
670,2/21/2004 7:00 PM,3/15/2016 8:00 PM,MRV102B_905,Foster,MICA,Amelia,Cumberland,1,"Take Route 260 and park on an access road 70m South of the older one shown on the map. Follow road East, past a pasture upslope. At the Y-intersection take the right branch until it crosses a creek. Follow the creek northward around one fourth a mile. Go up the East bank about 100 m into a large field about 70 m after crossing a  tributary creek coming in from the East. ",C,-78.154,37.386,Unnamed tributary,"Appomattox River from the head of tidal waters, and free flowing tributaries to the Appomattox River, to their headwaters, unless otherwise designated in this chapter.",Appomattox,0.1,0.5552
671,2/21/2004 7:00 PM,3/15/2016 8:00 PM,MRV102B_903,Ford Prospect,MICA,Amelia,Cumberland,1," Take Route 260 and park on an access road 70m South of the older one shown on the map. Follow road East, past a pasture upslope. At the Y-intersection take the right branch.  Approximately 50 m down this road there are indentions from an old logging road on the right.  Take this path approximately 20 m to the site. ",B,-78.158,37.382,Unnamed tributary,"Appomattox River from the head of tidal waters, and free flowing tributaries to the Appomattox River, to their headwaters, unless otherwise designated in this chapter.",Appomattox,0.1,0.6088
672,2/24/2004 7:00 PM,,MRV104A_603,,IRON,Buckingham,Andersonville,1,On Route 635 park on a access road on the left of the road just after the turn to Court Farm and the right turn onto Route 608.  Follow this road down to the creek.  Then head upslope for about 200 m.  Bear North along the small ridge for approximately 50 m.,C,-78.509,37.421,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,1,0.2530
673,2/24/2004 7:00 PM,,MRV104A_604,,IRON,Buckingham,Andersonville,1,On Route 635 park on a access road on the left of the road just after the turn to Court farm and the right turn onto Route 608.  Follow this road down to the creek.  Then head upslope for about 200 m until an evergreen farm.  Head East around the side of the farm for about 100 m.,C,-78.507,37.422,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,1,0.3700
674,2/24/2004 7:00 PM,,MRV104A_902,,IRON,Amelia,Cumberland,1,Off Route 635 park on the left by the sign to Court Farm.  Follow this road down until the peak of the first hill.  Walk to the East about 100 yards into the woods.  The shaft is right beside the fence.,C,-78.161,37.382,Unnamed tributary,"Appomattox River from the head of tidal waters, and free flowing tributaries to the Appomattox River, to their headwaters, unless otherwise designated in this chapter.",Appomattox,0.1,0.3562
675,4/16/2004 8:00 PM,,MRV157D_810,,IRON,Rockbridge,Cornwall,1,"  Take Rt. 60 going out of the northeast end of Buena Vista.  Across from the turnoff onto Maple Ave. (which will be on the right) there is an entrance into a warehouse/distribution center parking lot on the left of Rt. 60.  Park in their parking lot, closest to the woods.  Walk through the woods, slightly west, until you reach Chalk Mine Run.  Go up this stream drainage about 1.25 miles until the stream turns sharply to the right and a large stream comes into Chalk Mine Run just upstream of this sharp curve.  The site is up this new stream, going north, and is situated on left side, on flat part of hillslope.  The site is quite broad.",C,-79.326,37.762,Unnamed tributary,"James River and its tributaries from Balcony Falls to their headwaters, unless otherwise designated in this chapter. (The Maury River between its confluence with the James River upstream to its headwaters (the confluence of the Calfpasture and Little Cal",James-Upper,1,0.7178
676,3/23/2004 7:00 PM,3/15/2016 8:00 PM,MRV134A_124,Hayes,IRON,Buena Vista,Buena Vista,1,Take U.S. Route 60 through Buena Vista.  Take a left at the Fitzgerald Lumber and Log Company and park. Cross the stream directly adjacent to the Northwest of the camp.  The site is 20 m up the adjacent slope.,C,-79.341,37.748,Unnamed tributary,"James River and its tributaries from Balcony Falls to their headwaters, unless otherwise designated in this chapter. (The Maury River between its confluence with the James River upstream to its headwaters (the confluence of the Calfpasture and Little Cal",James-Upper,1,1.3183
677,3/18/2004 7:00 PM,,MRV154C_601,,MANGANESE,Albemarle,Schuyler,1," Off Rt. 29, take Rt. 6 east.  Go about between 8 and 10 miles and turn left at the second turnoff for Rt. 717.  About 0.5 mile up 717, take a right into a driveway that curves around to a house.  The site is a fairly large pit right off the right side of the dirt road that runs behind the house.",C,-78.647,37.829,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,1,1.0196
